months,income,cost of goods sold,accounts receivable,accounts payable,total operating expenses,Taxes,income budget,quick ratio,current ratio,cash at eom,expense budget
Jan,2928,920,834,797,1523,315,4319,2.73,5.34,2420,2900
Feb,3100,941,863,809,1488,340,4463,2.68,5.19,2800,2920
Mar,3420,961,853,822,1455,366,4557,2.69,5.44,3165,2940
Apr,2103,982,922,834,1419,391,4676,2.57,4.89,1420,2960
May,3520,1003,911,846,1390,417,4795,2.51,4.74,5332,2980
Jun,3107,1023,980,838,1349,442,4914,2.46,4.89,3606,3000
Jul,3413,1044,1010,871,1314,468,5034,2.50,4.43,3113,3020
Aug,3120,1064,1009,883,1279,493,5153,2.35,4.28,4529,3040
Sep,2450,1085,1068,895,1244,519,5272,2.29,4.13,2129,3060
Oct,3290,1106,1097,907,1202,544,5391,2.24,3.98,2910,3080
Nov,2365,1126,1127,920,1175,570,5510,2.18,3.83,2187,3100
Dec,3831,1147,1156,932,1138,595,5629,2.13,3.68,3789,3120
